state,regional_division,population,article_title,revision_id,article_quality
Alabama,East South Central,5049846,"Abbeville, Alabama",1171163550,C
Alabama,East South Central,5049846,"Adamsville, Alabama",1177621427,C
Alabama,East South Central,5049846,"Addison, Alabama",1168359898,C
Alabama,East South Central,5049846,"Akron, Alabama",1165909508,GA
Alabama,East South Central,5049846,"Alabaster, Alabama",1179139816,C
Alabama,East South Central,5049846,"Albertville, Alabama",1179198677,C
Alabama,East South Central,5049846,"Alexander City, Alabama",1179140073,GA
Alabama,East South Central,5049846,"Aliceville, Alabama",1167792390,GA
Alabama,East South Central,5049846,"Allgood, Alabama",1165909718,C
Alabama,East South Central,5049846,"Altoona, Alabama",1165909823,C
Alabama,East South Central,5049846,"Andalusia, Alabama",1179141586,C
Alabama,East South Central,5049846,"Anderson, Lauderdale County, Alabama",662691565,Stub
Alabama,East South Central,5049846,"Anniston, Alabama",1176049382,C
Alabama,East South Central,5049846,"Arab, Alabama",1171375371,C
Alabama,East South Central,5049846,"Ardmore, Alabama",1176903479,GA
Alabama,East South Central,5049846,"Argo, Alabama",1177623964,C
Alabama,East South Central,5049846,"Ariton, Alabama",1166014478,C
Alabama,East South Central,5049846,"Arley, Alabama",1166014498,C
Alabama,East South Central,5049846,"Ashford, Alabama",1166014593,C
Alabama,East South Central,5049846,"Ashland, Alabama",1174331705,C
Alabama,East South Central,5049846,"Ashville, Alabama",1148844011,C
Alabama,East South Central,5049846,"Athens, Alabama",1175308807,C
Alabama,East South Central,5049846,"Atmore, Alabama",1167926420,C
Alabama,East South Central,5049846,"Attalla, Alabama",1165507856,C
Alabama,East South Central,5049846,"Auburn, Alabama",1179546364,C
Alabama,East South Central,5049846,"Autaugaville, Alabama",1166014815,C
Alabama,East South Central,5049846,"Avon, Alabama",1166014861,Start
Alabama,East South Central,5049846,"Babbie, Alabama",1168820544,Start
Alabama,East South Central,5049846,"Baileyton, Alabama",1166014939,C
Alabama,East South Central,5049846,"Bakerhill, Alabama",1166014954,Start
Alabama,East South Central,5049846,"Banks, Alabama",1166014997,C
Alabama,East South Central,5049846,"Bay Minette, Alabama",1177963600,C
Alabama,East South Central,5049846,"Bayou La Batre, Alabama",1177999052,C
Alabama,East South Central,5049846,"Bear Creek, Alabama",1166015184,GA
Alabama,East South Central,5049846,"Beatrice, Alabama",1166015214,C
Alabama,East South Central,5049846,"Beaverton, Alabama",1166015251,Start
Alabama,East South Central,5049846,"Belk, Alabama",1166015313,C
Alabama,East South Central,5049846,"Benton, Alabama",1166015434,C
Alabama,East South Central,5049846,"Berlin, Alabama",1166015476,Start
Alabama,East South Central,5049846,"Berry, Alabama",1166015515,C
Alabama,East South Central,5049846,"Bessemer, Alabama",1178999596,C
Alabama,East South Central,5049846,"Billingsley, Alabama",1166015695,Start
Alabama,East South Central,5049846,"Birmingham, Alabama",1179414429,B
Alabama,East South Central,5049846,"Black, Alabama",1166015772,Start
Alabama,East South Central,5049846,"Blountsville, Alabama",1105978061,GA
Alabama,East South Central,5049846,"Blue Springs, Alabama",1166015902,Start
Alabama,East South Central,5049846,"Boaz, Alabama",1177138566,GA
Alabama,East South Central,5049846,"Boligee, Alabama",1166015957,C
Alabama,East South Central,5049846,"Bon Air, Alabama",1166015981,C
Alabama,East South Central,5049846,"Brantley, Alabama",1165814013,C
Alabama,East South Central,5049846,"Brent, Alabama",1172245542,GA
Alabama,East South Central,5049846,"Brewton, Alabama",1162427481,GA
Alabama,East South Central,5049846,"Bridgeport, Alabama",1165537046,GA
Alabama,East South Central,5049846,"Brighton, Alabama",1177621572,C
Alabama,East South Central,5049846,"Brilliant, Alabama",1166016323,GA
Alabama,East South Central,5049846,"Brookside, Alabama",1170769013,C
Alabama,East South Central,5049846,"Brookwood, Alabama",1178216914,C
Alabama,East South Central,5049846,"Brundidge, Alabama",1165537457,C
Alabama,East South Central,5049846,"Butler, Alabama",1144752979,C
Alabama,East South Central,5049846,"Calera, Alabama",1165537934,C
Alabama,East South Central,5049846,"Camden, Alabama",1176316224,GA
Alabama,East South Central,5049846,"Camp Hill, Alabama",1166017104,C
Alabama,East South Central,5049846,"Carbon Hill, Alabama",1175376595,C
Alabama,East South Central,5049846,"Cardiff, Alabama",1166017260,Start
Alabama,East South Central,5049846,"Carolina, Alabama",1166017310,Start
Alabama,East South Central,5049846,"Carrollton, Alabama",1096812581,C
Alabama,East South Central,5049846,"Castleberry, Alabama",1166017442,Start
Alabama,East South Central,5049846,"Cedar Bluff, Alabama",1177836881,C
Alabama,East South Central,5049846,"Center Point, Alabama",1174837569,C
Alabama,East South Central,5049846,"Centre, Alabama",1164314017,C
Alabama,East South Central,5049846,"Centreville, Alabama",1172134285,C
Alabama,East South Central,5049846,"Chatom, Alabama",1159488446,C
Alabama,East South Central,5049846,"Chelsea, Alabama",1165539092,C
Alabama,East South Central,5049846,"Cherokee, Alabama",1166017755,C
Alabama,East South Central,5049846,"Chickasaw, Alabama",1165539195,C
Alabama,East South Central,5049846,"Childersburg, Alabama",1165539227,GA
Alabama,East South Central,5049846,"Citronelle, Alabama",1165539457,C
Alabama,East South Central,5049846,"Clanton, Alabama",1158612343,GA
Alabama,East South Central,5049846,"Clay, Alabama",1177621993,C
Alabama,East South Central,5049846,"Clayhatchee, Alabama",1166018079,Start
Alabama,East South Central,5049846,"Clayton, Alabama",1155236230,C
Alabama,East South Central,5049846,"Cleveland, Alabama",1168466910,C
Alabama,East South Central,5049846,"Clio, Alabama",1165644511,Start
Alabama,East South Central,5049846,"Coaling, Alabama",1166018304,C
Alabama,East South Central,5049846,"Coffee Springs, Alabama",1166018326,Start
Alabama,East South Central,5049846,"Coffeeville, Alabama",1166029689,C
Alabama,East South Central,5049846,"Coker, Alabama",1166018360,Start
Alabama,East South Central,5049846,"Collinsville, Alabama",1177947751,C
Alabama,East South Central,5049846,"Colony, Alabama",1166018463,GA
Alabama,East South Central,5049846,"Columbia, Alabama",1166018475,C
Alabama,East South Central,5049846,"Columbiana, Alabama",1151357569,C
Alabama,East South Central,5049846,"Coosada, Alabama",1172561590,C
Alabama,East South Central,5049846,"Cordova, Alabama",1165645181,GA
Alabama,East South Central,5049846,"Cottonwood, Alabama",1096812941,C
Alabama,East South Central,5049846,"County Line, Alabama",1166018950,Start
Alabama,East South Central,5049846,"Courtland, Alabama",1157580326,GA
Alabama,East South Central,5049846,"Cowarts, Alabama",1166019003,C
Alabama,East South Central,5049846,"Creola, Alabama",1139764613,GA
Alabama,East South Central,5049846,"Crossville, Alabama",1166066155,C
Alabama,East South Central,5049846,"Cuba, Alabama",1175879685,C
